方案1,方案2,方案1均值,方案1方差,方案2均值,候方案2方差
正正正,正正反,49997.5,15054.5,50002.5,15054.5
正正正,正反正,39970.25,25249.6875,60029.75,25249.6875
正正正,正反反,40078.0,9447.5,59922.0,9447.5
正正正,反正正,12511.0,6763.25,87489.0,6763.25
正正正,反正反,41635.125,13000.109375,58364.875,13000.109375
正正正,反反正,29998.875,17100.109375,70001.125,17100.109375
正正正,反反反,50088.125,47443.109375,49911.875,47443.109375
正正反,正反正,66641.25,18818.6875,33358.75,18818.6875
正正反,正反反,66621.875,32048.609375,33378.125,32048.609375
正正反,反正正,25000.5,26851.25,74999.5,26851.25
正正反,反正反,62417.75,4210.1875,37582.25,4210.1875
正正反,反反正,50033.5,10049.75,49966.5,10049.75
正正反,反反反,69980.625,16522.234375,30019.375,16522.234375
正反正,正反反,49959.0,26634.5,50041.0,26634.5
正反正,反正正,49983.875,19405.109375,50016.125,19405.109375
正反正,反正反,50027.125,31222.859375,49972.875,31222.859375
正反正,反反正,37481.25,4205.1875,62518.75,4205.1875
正反正,反反反,58298.0,17116.0,41702.0,17116.0
正反反,反正正,50044.0,37151.5,49956.0,37151.5
正反反,反正反,50061.5,16833.25,49938.5,16833.25
正反反,反反正,75013.875,19320.359375,24986.125,19320.359375
正反反,反反反,87526.875,19495.109375,12473.125,19495.109375
反正正,反正反,50053.25,34651.4375,49946.75,34651.4375
反正正,反反正,33335.125,17247.859375,66664.875,17247.859375
反正正,反反反,60075.375,9280.484375,39924.625,9280.484375
反正反,反反正,33286.0,4134.0,66714.0,4134.0
反正反,反反反,59996.875,7848.109375,40003.125,7848.109375
反反正,反反反,50088.75,39501.1875,49911.25,39501.1875
